round,loss,accuracy,precision,recall,f1
71,2.303045037426526,0.1023,0.15818570725813358,0.10229999999999999,0.022734724853702242
72,2.3046554915512663,0.0998,0.0661246415336498,0.0998,0.02053551683486269
73,2.30214950102794,0.1013,0.06759541885867777,0.10129999999999999,0.022044601191145874
74,2.3064516284797767,0.1012,0.14415839207598743,0.1012,0.021086272853486732
75,2.3039611864693557,0.1004,0.12509936727472798,0.1004,0.019901086567753235
76,2.3015673794323885,0.1022,0.0725946682599719,0.1022,0.022469523661072004
77,2.303629829913755,0.1036,0.13135845168049518,0.1036,0.027200038708429547
78,2.305332292484332,0.1012,0.05766727913030163,0.1012,0.020601841607724564
79,2.3043308529672744,0.1016,0.13090596835943077,0.1016,0.02192709528367203
80,2.3025845425038396,0.1009,0.06001903616872058,0.10089999999999999,0.019981450367298113
81,2.30342861670482,0.1019,0.08719360980260835,0.10189999999999999,0.02284950204125796
82,2.3019549997547006,0.1026,0.13267782123714328,0.10259999999999998,0.02436324766461685
83,2.304416674601881,0.1018,0.05619501494589355,0.1018,0.021714710381269726
84,2.2996884780594065,0.1038,0.09106101197031899,0.1038,0.028633065580201927
85,2.2935954860494108,0.1075,0.10097839744576576,0.1075,0.034530242695252
86,2.2947722658326355,0.1067,0.18690422059378542,0.10669999999999999,0.03508444486752895
87,2.2932916019536274,0.1121,0.20315310391207353,0.1121,0.039820597256707294
88,2.2896389448190035,0.1134,0.16724644358561755,0.11339999999999999,0.042455124133541744
89,2.2863526434838017,0.1115,0.10210967364149867,0.1115,0.04001823806781977
90,2.285085518148881,0.1111,0.0981787527262256,0.1111,0.039220505460070255
91,2.2904681586012057,0.1153,0.10389876306301513,0.11529999999999999,0.044422082228135165
92,2.2640845021115075,0.1259,0.22068499523235502,0.1259,0.06300426186114996
93,2.167670980284486,0.188,0.15577571667315007,0.188,0.11677891054271003
94,2.1372066449515428,0.1937,0.1389780527004581,0.1937,0.12269890436996263
95,2.109485689597794,0.2019,0.14875860961610282,0.20190000000000002,0.12457621714247653
96,2.041858430150189,0.2291,0.2221606600736703,0.2291,0.13897995299595226
97,2.025524869749818,0.2167,0.24642184783694274,0.21669999999999998,0.12901610549548553
98,2.066301747213436,0.2008,0.1446095332383645,0.2008,0.13260911945955306
99,2.0250372539592694,0.1889,0.14942724337376037,0.1889,0.11826174440546802
100,2.0755967067766794,0.2167,0.1883283437775923,0.21669999999999998,0.13443296084640505
101,2.0658627084538908,0.1917,0.2589716942393958,0.19170000000000004,0.11461770003895781
102,2.011454567124572,0.2117,0.19058189558385755,0.2117,0.15673921668124402
103,2.013254126415977,0.2169,0.19608860400192066,0.2169,0.1483999111666296
104,1.9985814381249343,0.2273,0.18269852539876544,0.2273,0.1487160079609507
105,2.026474160484121,0.206,0.15250163507812298,0.20599999999999996,0.13039408553908177
106,1.9816844674605358,0.2301,0.17958008431840913,0.23009999999999997,0.15416301199039398
107,2.036137096489532,0.2174,0.17762014105822163,0.21739999999999998,0.12822928318618743
108,1.994377288637282,0.2249,0.19474316032915054,0.22489999999999996,0.16704012809485888
109,2.0304196393942533,0.2318,0.17303377855951504,0.2318,0.16492801527740902
110,1.9910430274432218,0.2302,0.18679748048705075,0.23020000000000002,0.15795920888204332
111,2.0128737612615657,0.2352,0.20402063662319464,0.23520000000000002,0.16661259886331115
112,1.987869680682315,0.2352,0.20632841930691134,0.23520000000000002,0.16687586050702943
113,2.0194701393948327,0.2309,0.2314166929709074,0.23089999999999997,0.17810656816491952
114,1.9691416266598278,0.2403,0.19361783955958714,0.2403,0.17408088411571043
115,2.01817137832883,0.2323,0.20281328398328097,0.2323,0.16271719263396972
116,1.9925788474988333,0.2191,0.21433541844647025,0.2191,0.14515995656859718
117,1.9680781153183948,0.2436,0.2306415176413957,0.24359999999999998,0.18042667182727115
118,1.9791992193535914,0.2325,0.23500643251519931,0.2325,0.16296464060789637
119,2.004366839988322,0.2276,0.1833631068058858,0.22760000000000002,0.15699707027046422
120,2.0004875237428688,0.2231,0.18972245270408658,0.22310000000000002,0.15229736053601503
121,1.9725303257567972,0.2294,0.2041616684655016,0.2294,0.17745926894595893
122,2.003791366951375,0.2293,0.22492638336450446,0.2293,0.1718174006060865
123,2.009461955179142,0.2154,0.19797709793894183,0.21540000000000004,0.15707364678007427
124,1.9884763940980164,0.2352,0.20577412005157475,0.2352,0.1635544757031418
125,2.05327599712565,0.2182,0.17720369567873995,0.2182,0.1532503979535369
126,1.9546088146258005,0.2335,0.23381060094916178,0.23349999999999999,0.1815041784533711
127,1.9787394759021228,0.2492,0.2035423888769851,0.2492,0.18095952451963276
128,1.9776051240631296,0.2309,0.3061387244338063,0.23089999999999997,0.17928872043172966
129,1.9894119953807397,0.2403,0.21064179056802818,0.2403,0.18596845292504285
130,1.977529509158074,0.2602,0.22790549475127073,0.26020000000000004,0.20028589788464352
131,1.9742999076843262,0.2312,0.19982826167253281,0.2312,0.17877519868909417
132,1.9612467847292936,0.2404,0.20892249389777753,0.2404,0.17125742907974392
133,1.968083057222487,0.2353,0.23127382553868667,0.2353,0.1791077236979356
134,1.9581011729904367,0.2488,0.2513944343402352,0.2488,0.19278153571809192
135,1.955713931518265,0.255,0.20465595792409563,0.255,0.1784497467256878
136,1.9471379699586313,0.2443,0.2385793132442296,0.24430000000000002,0.18701207749822468
137,1.965094510513016,0.2448,0.21999507661963805,0.2448,0.1819915220576132
138,1.994284549845925,0.2242,0.20027953936114096,0.2242,0.1752938424254947
139,2.0197172677969633,0.2164,0.21373469270631004,0.2164,0.16076074308182584
140,1.954489394079281,0.2478,0.2198740807226634,0.24779999999999996,0.19209591988482883
141,1.9671883054926425,0.2227,0.20816504030055927,0.22269999999999998,0.16022636506602134
142,2.0086844042886662,0.2186,0.22126759985151265,0.2186,0.17200390031132792
143,1.9475346426420574,0.2512,0.2765780790527985,0.25120000000000003,0.18956753960608672
144,1.967108329640159,0.2323,0.2723790737281361,0.2323,0.1746888405008438
145,1.946296270889572,0.2412,0.22797749756950075,0.2412,0.18959626584812955
146,1.9511527954777586,0.2626,0.20313206237124626,0.26260000000000006,0.19136841108884745
147,1.9809100235564798,0.2343,0.22718806676847256,0.2343,0.17301783896833878
148,1.9511240600030633,0.2465,0.21618995406824398,0.24650000000000002,0.18831398579202002
149,1.981187014640132,0.2386,0.24004727990846667,0.2386,0.15530901211071288
150,1.9553555597232868,0.2487,0.2610129330636502,0.2487,0.19769679321197225
151,1.9353269987468478,0.229,0.2547652807853521,0.229,0.1650609576106163
152,1.9551004759873016,0.2577,0.24675999828161946,0.2577,0.2107538704405219
153,2.0792742167847065,0.205,0.23319460728072752,0.205,0.14066873328742563
154,2.1025115960760963,0.2026,0.2550950763661314,0.20259999999999997,0.12315412883296997
155,2.0476857016358196,0.2171,0.24009856418240622,0.2171,0.15518341327903676
156,2.0311488079119333,0.2338,0.2073187997464371,0.2338,0.16936336014189318
157,2.029974791068065,0.2254,0.19928709360500746,0.22539999999999996,0.1686301542507178
158,1.9846409272543992,0.2331,0.21766844482600306,0.2331,0.17266719042017112
159,1.9871218461024611,0.2367,0.19538968567673226,0.2367,0.18748987135239673
160,1.9611509374425382,0.2491,0.22233493174734678,0.24910000000000002,0.1823892020679334
161,1.9540907702868497,0.2439,0.22879272083960878,0.2439,0.20282272418614672
162,1.996802941153321,0.2257,0.22353606999112058,0.2257,0.15645053399366474
